old-compton {'shoplifting': 1148, 'theft_person': 6123, 'robbery_biz': 787, 'burglary_biz': 239}
seven-dials {'shoplifting': 937, 'theft_person': 3221, 'robbery_biz': 382, 'burglary_biz': 202}
charlotte-street {'shoplifting': 466, 'theft_person': 652, 'robbery_biz': 107, 'burglary_biz': 158}
marylebone-high {'shoplifting': 359, 'theft_person': 353, 'robbery_biz': 67, 'burglary_biz': 113}
oxford-east {'shoplifting': 1226, 'theft_person': 4729, 'robbery_biz': 582, 'burglary_biz': 224}
carnaby {'shoplifting': 1722, 'theft_person': 4012, 'robbery_biz': 492, 'burglary_biz': 197}
chinatown {'shoplifting': 828, 'theft_person': 4890, 'robbery_biz': 719, 'burglary_biz': 206}
borough-high {'shoplifting': 136, 'theft_person': 1113, 'robbery_biz': 189, 'burglary_biz': 133}
bermondsey-street {'shoplifting': 241, 'theft_person': 274, 'robbery_biz': 87, 'burglary_biz': 135}
lower-marsh {'shoplifting': 354, 'theft_person': 695, 'robbery_biz': 118, 'burglary_biz': 66}
the-cut {'shoplifting': 330, 'theft_person': 964, 'robbery_biz': 135, 'burglary_biz': 75}
wilton-road {'shoplifting': 379, 'theft_person': 574, 'robbery_biz': 109, 'burglary_biz': 84}
strutton-ground {'shoplifting': 166, 'theft_person': 295, 'robbery_biz': 47, 'burglary_biz': 75}
cheapside {'shoplifting': 478, 'theft_person': 284, 'robbery_biz': 65, 'burglary_biz': 56}
leadenhall {'shoplifting': 270, 'theft_person': 236, 'robbery_biz': 56, 'burglary_biz': 152}
broadgate {'shoplifting': 314, 'theft_person': 213, 'robbery_biz': 69, 'burglary_biz': 80}
exmouth-market {'shoplifting': 241, 'theft_person': 176, 'robbery_biz': 39, 'burglary_biz': 89}
cowcross {'shoplifting': 601, 'theft_person': 416, 'robbery_biz': 103, 'burglary_biz': 104}
boxpark {'shoplifting': 234, 'theft_person': 584, 'robbery_biz': 112, 'burglary_biz': 169}
hoxton-square {'shoplifting': 123, 'theft_person': 741, 'robbery_biz': 154, 'burglary_biz': 146}
old-street-east {'shoplifting': 379, 'theft_person': 826, 'robbery_biz': 175, 'burglary_biz': 181}
brushfield {'shoplifting': 389, 'theft_person': 285, 'robbery_biz': 75, 'burglary_biz': 161}
brick-lane {'shoplifting': 306, 'theft_person': 240, 'robbery_biz': 58, 'burglary_biz': 120}
coal-drops {'shoplifting': 153, 'theft_person': 147, 'robbery_biz': 52, 'burglary_biz': 64}
drummond-street {'shoplifting': 34, 'theft_person': 445, 'robbery_biz': 73, 'burglary_biz': 46}
praed-street {'shoplifting': 64, 'theft_person': 426, 'robbery_biz': 47, 'burglary_biz': 140}
queensway {'shoplifting': 181, 'theft_person': 166, 'robbery_biz': 43, 'burglary_biz': 114}
portobello {'shoplifting': 309, 'theft_person': 275, 'robbery_biz': 75, 'burglary_biz': 84}
south-kensington {'shoplifting': 51, 'theft_person': 149, 'robbery_biz': 26, 'burglary_biz': 50}
knightsbridge {'shoplifting': 407, 'theft_person': 205, 'robbery_biz': 47, 'burglary_biz': 49}
kings-road {'shoplifting': 305, 'theft_person': 207, 'robbery_biz': 38, 'burglary_biz': 50}
battersea-power {'shoplifting': 163, 'theft_person': 143, 'robbery_biz': 24, 'burglary_biz': 53}
