wardour-street {'shoplifting': 1755, 'theft_person': 6162, 'robbery_biz': 740, 'burglary_biz': 228}
regent-street {'shoplifting': 1786, 'theft_person': 3242, 'robbery_biz': 444, 'burglary_biz': 169}
bond-street {'shoplifting': 926, 'theft_person': 1286, 'robbery_biz': 201, 'burglary_biz': 105}
jermyn-street {'shoplifting': 584, 'theft_person': 1235, 'robbery_biz': 187, 'burglary_biz': 70}
mount-street {'shoplifting': 355, 'theft_person': 480, 'robbery_biz': 88, 'burglary_biz': 76}
lambs-conduit {'shoplifting': 76, 'theft_person': 258, 'robbery_biz': 46, 'burglary_biz': 81}
motcomb-street {'shoplifting': 163, 'theft_person': 192, 'robbery_biz': 42, 'burglary_biz': 46}
st-christophers-place {'shoplifting': 1757, 'theft_person': 1754, 'robbery_biz': 198, 'burglary_biz': 147}
middlesex-street {'shoplifting': 472, 'theft_person': 325, 'robbery_biz': 84, 'burglary_biz': 141}
edgware-road {'shoplifting': 379, 'theft_person': 331, 'robbery_biz': 142, 'burglary_biz': 136}
baker-street {'shoplifting': 360, 'theft_person': 375, 'robbery_biz': 62, 'burglary_biz': 97}
hackney-road {'shoplifting': 293, 'theft_person': 83, 'robbery_biz': 54, 'burglary_biz': 88}
victoria-park-village {'shoplifting': 4, 'theft_person': 50, 'robbery_biz': 23, 'burglary_biz': 16}
stamford-hill {'shoplifting': 132, 'theft_person': 120, 'robbery_biz': 41, 'burglary_biz': 39}
forest-gate {'shoplifting': 149, 'theft_person': 103, 'robbery_biz': 81, 'burglary_biz': 63}
east-ham {'shoplifting': 220, 'theft_person': 286, 'robbery_biz': 128, 'burglary_biz': 52}
ilford {'shoplifting': 488, 'theft_person': 468, 'robbery_biz': 122, 'burglary_biz': 91}
tottenham-hale {'shoplifting': 127, 'theft_person': 138, 'robbery_biz': 72, 'burglary_biz': 57}
crystal-palace {'shoplifting': 70, 'theft_person': 40, 'robbery_biz': 36, 'burglary_biz': 45}
sydenham {'shoplifting': 99, 'theft_person': 27, 'robbery_biz': 33, 'burglary_biz': 19}
elephant-castle {'shoplifting': 103, 'theft_person': 1116, 'robbery_biz': 231, 'burglary_biz': 105}
old-kent-road {'shoplifting': 67, 'theft_person': 47, 'robbery_biz': 30, 'burglary_biz': 34}
kennington {'shoplifting': 57, 'theft_person': 231, 'robbery_biz': 58, 'burglary_biz': 55}
golborne-road {'shoplifting': 11, 'theft_person': 82, 'robbery_biz': 32, 'burglary_biz': 65}
kensington-high {'shoplifting': 287, 'theft_person': 120, 'robbery_biz': 32, 'burglary_biz': 49}
earls-court {'shoplifting': 131, 'theft_person': 93, 'robbery_biz': 41, 'burglary_biz': 135}
north-end-road {'shoplifting': 275, 'theft_person': 47, 'robbery_biz': 42, 'burglary_biz': 85}
wembley {'shoplifting': 416, 'theft_person': 232, 'robbery_biz': 104, 'burglary_biz': 46}
golders-green {'shoplifting': 214, 'theft_person': 55, 'robbery_biz': 26, 'burglary_biz': 45}
richmond {'shoplifting': 246, 'theft_person': 61, 'robbery_biz': 33, 'burglary_biz': 41}
CRIME DONE
