north-greenwich {'shoplifting': 32, 'theft_person': 76, 'robbery_biz': 31, 'burglary_biz': 18}
barking {'shoplifting': 257, 'theft_person': 182, 'robbery_biz': 115, 'burglary_biz': 74}
embankment {'shoplifting': 332, 'theft_person': 874, 'robbery_biz': 146, 'burglary_biz': 50}
abbey-wood {'shoplifting': 5, 'theft_person': 18, 'robbery_biz': 8, 'burglary_biz': 21}
wembley-park {'shoplifting': 89, 'theft_person': 202, 'robbery_biz': 85, 'burglary_biz': 48}
woolwich-el {'shoplifting': 245, 'theft_person': 98, 'robbery_biz': 95, 'burglary_biz': 91}
clapham-junction {'shoplifting': 365, 'theft_person': 122, 'robbery_biz': 83, 'burglary_biz': 89}
heathrow-terminals-2-and-3-el {'shoplifting': 48, 'theft_person': 25, 'robbery_biz': 1, 'burglary_biz': 0}
romford {'shoplifting': 433, 'theft_person': 123, 'robbery_biz': 79, 'burglary_biz': 45}
blackhorse-road {'shoplifting': 108, 'theft_person': 45, 'robbery_biz': 17, 'burglary_biz': 47}
hayes-and-harlington {'shoplifting': 250, 'theft_person': 91, 'robbery_biz': 66, 'burglary_biz': 58}
custom-house-el {'shoplifting': 19, 'theft_person': 61, 'robbery_biz': 19, 'burglary_biz': 38}
morden {'shoplifting': 170, 'theft_person': 27, 'robbery_biz': 34, 'burglary_biz': 23}
harrow-on-the-hill {'shoplifting': 327, 'theft_person': 281, 'robbery_biz': 82, 'burglary_biz': 49}
southall {'shoplifting': 15, 'theft_person': 100, 'robbery_biz': 32, 'burglary_biz': 43}
heathrow-terminal-5-el {'shoplifting': 0, 'theft_person': 0, 'robbery_biz': 0, 'burglary_biz': 0}
temple {'shoplifting': 48, 'theft_person': 324, 'robbery_biz': 34, 'burglary_biz': 36}
turnpike-lane {'shoplifting': 257, 'theft_person': 143, 'robbery_biz': 64, 'burglary_biz': 43}
finchley-road {'shoplifting': 334, 'theft_person': 175, 'robbery_biz': 56, 'burglary_biz': 75}
hendon-central {'shoplifting': 7, 'theft_person': 23, 'robbery_biz': 15, 'burglary_biz': 17}
leytonstone {'shoplifting': 816, 'theft_person': 55, 'robbery_biz': 65, 'burglary_biz': 54}
tooting-bec {'shoplifting': 40, 'theft_person': 27, 'robbery_biz': 17, 'burglary_biz': 34}
east-putney {'shoplifting': 39, 'theft_person': 19, 'robbery_biz': 8, 'burglary_biz': 53}
north-acton {'shoplifting': 67, 'theft_person': 11, 'robbery_biz': 25, 'burglary_biz': 26}
limehouse {'shoplifting': 65, 'theft_person': 47, 'robbery_biz': 44, 'burglary_biz': 103}
shadwell {'shoplifting': 34, 'theft_person': 84, 'robbery_biz': 52, 'burglary_biz': 57}
manor-house {'shoplifting': 91, 'theft_person': 245, 'robbery_biz': 97, 'burglary_biz': 51}
willesden-green {'shoplifting': 128, 'theft_person': 39, 'robbery_biz': 33, 'burglary_biz': 33}
kilburn-2 {'shoplifting': 174, 'theft_person': 88, 'robbery_biz': 59, 'burglary_biz': 66}
east-finchley {'shoplifting': 10, 'theft_person': 16, 'robbery_biz': 13, 'burglary_biz': 29}
uxbridge {'shoplifting': 460, 'theft_person': 135, 'robbery_biz': 57, 'burglary_biz': 39}
oval {'shoplifting': 2, 'theft_person': 153, 'robbery_biz': 43, 'burglary_biz': 34}
belsize-park {'shoplifting': 188, 'theft_person': 111, 'robbery_biz': 32, 'burglary_biz': 66}
finchley-central {'shoplifting': 30, 'theft_person': 20, 'robbery_biz': 16, 'burglary_biz': 26}
harrow-and-wealdstone {'shoplifting': 186, 'theft_person': 56, 'robbery_biz': 25, 'burglary_biz': 42}
southfields {'shoplifting': 57, 'theft_person': 9, 'robbery_biz': 10, 'burglary_biz': 27}
acton-town {'shoplifting': 60, 'theft_person': 14, 'robbery_biz': 14, 'burglary_biz': 28}
dagenham-heathway {'shoplifting': 106, 'theft_person': 60, 'robbery_biz': 65, 'burglary_biz': 38}
gants-hill {'shoplifting': 31, 'theft_person': 42, 'robbery_biz': 30, 'burglary_biz': 27}
burnt-oak {'shoplifting': 208, 'theft_person': 37, 'robbery_biz': 44, 'burglary_biz': 24}
upminster {'shoplifting': 85, 'theft_person': 9, 'robbery_biz': 11, 'burglary_biz': 28}
chadwell-heath {'shoplifting': 3, 'theft_person': 15, 'robbery_biz': 22, 'burglary_biz': 21}
plaistow {'shoplifting': 190, 'theft_person': 59, 'robbery_biz': 42, 'burglary_biz': 32}
willesden-junction {'shoplifting': 4, 'theft_person': 30, 'robbery_biz': 17, 'burglary_biz': 19}
woodford {'shoplifting': 9, 'theft_person': 10, 'robbery_biz': 14, 'burglary_biz': 17}
goodmayes {'shoplifting': 335, 'theft_person': 36, 'robbery_biz': 37, 'burglary_biz': 42}
norwood-jn {'shoplifting': 105, 'theft_person': 20, 'robbery_biz': 31, 'burglary_biz': 30}
edmonton-green {'shoplifting': 220, 'theft_person': 119, 'robbery_biz': 73, 'burglary_biz': 50}
bounds-green {'shoplifting': 8, 'theft_person': 26, 'robbery_biz': 13, 'burglary_biz': 17}
northolt {'shoplifting': 7, 'theft_person': 41, 'robbery_biz': 19, 'burglary_biz': 24}
east-india {'shoplifting': 46, 'theft_person': 26, 'robbery_biz': 14, 'burglary_biz': 19}
south-woodford {'shoplifting': 244, 'theft_person': 20, 'robbery_biz': 38, 'burglary_biz': 39}
manor-park {'shoplifting': 8, 'theft_person': 45, 'robbery_biz': 32, 'burglary_biz': 37}
hampstead {'shoplifting': 154, 'theft_person': 43, 'robbery_biz': 28, 'burglary_biz': 63}
southgate {'shoplifting': 71, 'theft_person': 23, 'robbery_biz': 12, 'burglary_biz': 25}
west-croydon {'shoplifting': 445, 'theft_person': 133, 'robbery_biz': 79, 'burglary_biz': 73}
edgware {'shoplifting': 160, 'theft_person': 67, 'robbery_biz': 33, 'burglary_biz': 38}
seven-kings {'shoplifting': 34, 'theft_person': 21, 'robbery_biz': 18, 'burglary_biz': 31}
west-kensington {'shoplifting': 51, 'theft_person': 23, 'robbery_biz': 16, 'burglary_biz': 56}
kingsbury {'shoplifting': 137, 'theft_person': 31, 'robbery_biz': 24, 'burglary_biz': 29}
brockley {'shoplifting': 55, 'theft_person': 14, 'robbery_biz': 12, 'burglary_biz': 33}
bromley-by-bow {'shoplifting': 81, 'theft_person': 72, 'robbery_biz': 53, 'burglary_biz': 48}
gunnersbury {'shoplifting': 12, 'theft_person': 7, 'robbery_biz': 4, 'burglary_biz': 30}
south-wimbledon {'shoplifting': 60, 'theft_person': 9, 'robbery_biz': 10, 'burglary_biz': 24}
west-drayton {'shoplifting': 129, 'theft_person': 20, 'robbery_biz': 25, 'burglary_biz': 41}
high-barnet {'shoplifting': 90, 'theft_person': 7, 'robbery_biz': 18, 'burglary_biz': 13}
heathrow-terminal-4-el {'shoplifting': 30, 'theft_person': 24, 'robbery_biz': 2, 'burglary_biz': 5}
east-acton {'shoplifting': 12, 'theft_person': 25, 'robbery_biz': 7, 'burglary_biz': 26}
london-city-airport {'shoplifting': 6, 'theft_person': 9, 'robbery_biz': 4, 'burglary_biz': 4}
hounslow-east {'shoplifting': 47, 'theft_person': 65, 'robbery_biz': 23, 'burglary_biz': 30}
queens-road-peckham {'shoplifting': 89, 'theft_person': 22, 'robbery_biz': 29, 'burglary_biz': 65}
harold-wood {'shoplifting': 26, 'theft_person': 8, 'robbery_biz': 3, 'burglary_biz': 9}
rayners-lane {'shoplifting': 64, 'theft_person': 39, 'robbery_biz': 18, 'burglary_biz': 17}
acton-main-line {'shoplifting': 43, 'theft_person': 9, 'robbery_biz': 16, 'burglary_biz': 25}
newbury-park {'shoplifting': 38, 'theft_person': 12, 'robbery_biz': 16, 'burglary_biz': 12}
arnos-grove {'shoplifting': 15, 'theft_person': 19, 'robbery_biz': 24, 'burglary_biz': 18}
hatton-cross {'shoplifting': 2, 'theft_person': 6, 'robbery_biz': 1, 'burglary_biz': 6}
greenford {'shoplifting': 66, 'theft_person': 15, 'robbery_biz': 11, 'burglary_biz': 17}
stanmore {'shoplifting': 1, 'theft_person': 3, 'robbery_biz': 6, 'burglary_biz': 29}
hounslow-central {'shoplifting': 594, 'theft_person': 251, 'robbery_biz': 81, 'burglary_biz': 78}
woodside-park {'shoplifting': 3, 'theft_person': 9, 'robbery_biz': 4, 'burglary_biz': 17}
northwick-park {'shoplifting': 46, 'theft_person': 32, 'robbery_biz': 15, 'burglary_biz': 14}
crossharbour {'shoplifting': 44, 'theft_person': 36, 'robbery_biz': 32, 'burglary_biz': 63}
dollis-hill {'shoplifting': 6, 'theft_person': 19, 'robbery_biz': 22, 'burglary_biz': 37}
queensbury {'shoplifting': 26, 'theft_person': 34, 'robbery_biz': 15, 'burglary_biz': 36}
kew-gardens {'shoplifting': 51, 'theft_person': 11, 'robbery_biz': 5, 'burglary_biz': 24}
west-ealing {'shoplifting': 60, 'theft_person': 21, 'robbery_biz': 38, 'burglary_biz': 46}
hainault {'shoplifting': 52, 'theft_person': 4, 'robbery_biz': 9, 'burglary_biz': 13}
gidea-park {'shoplifting': 4, 'theft_person': 3, 'robbery_biz': 6, 'burglary_biz': 10}
imperial-wharf {'shoplifting': 12, 'theft_person': 10, 'robbery_biz': 12, 'burglary_biz': 34}
becontree {'shoplifting': 66, 'theft_person': 18, 'robbery_biz': 32, 'burglary_biz': 11}
holland-park {'shoplifting': 68, 'theft_person': 31, 'robbery_biz': 15, 'burglary_biz': 41}
hounslow-west {'shoplifting': 40, 'theft_person': 35, 'robbery_biz': 16, 'burglary_biz': 32}
silver-street {'shoplifting': 26, 'theft_person': 107, 'robbery_biz': 88, 'burglary_biz': 45}
hanger-lane {'shoplifting': 2, 'theft_person': 30, 'robbery_biz': 12, 'burglary_biz': 26}
highams-park {'shoplifting': 60, 'theft_person': 10, 'robbery_biz': 17, 'burglary_biz': 22}
chingford {'shoplifting': 5, 'theft_person': 3, 'robbery_biz': 7, 'burglary_biz': 11}
pontoon-dock {'shoplifting': 32, 'theft_person': 40, 'robbery_biz': 10, 'burglary_biz': 50}
harlesden {'shoplifting': 1, 'theft_person': 20, 'robbery_biz': 17, 'burglary_biz': 12}
dagenham-east {'shoplifting': 37, 'theft_person': 13, 'robbery_biz': 12, 'burglary_biz': 11}
neasden {'shoplifting': 112, 'theft_person': 48, 'robbery_biz': 34, 'burglary_biz': 36}
elm-park {'shoplifting': 162, 'theft_person': 6, 'robbery_biz': 28, 'burglary_biz': 19}
honor-oak-park {'shoplifting': 133, 'theft_person': 8, 'robbery_biz': 11, 'burglary_biz': 19}
alperton {'shoplifting': 166, 'theft_person': 50, 'robbery_biz': 34, 'burglary_biz': 36}
northfields {'shoplifting': 22, 'theft_person': 3, 'robbery_biz': 9, 'burglary_biz': 22}
pinner {'shoplifting': 104, 'theft_person': 33, 'robbery_biz': 10, 'burglary_biz': 19}
enfield-town {'shoplifting': 258, 'theft_person': 102, 'robbery_biz': 61, 'burglary_biz': 45}
preston-road {'shoplifting': 22, 'theft_person': 25, 'robbery_biz': 17, 'burglary_biz': 8}
stonebridge-park {'shoplifting': 7, 'theft_person': 23, 'robbery_biz': 15, 'burglary_biz': 10}
hanwell {'shoplifting': 75, 'theft_person': 11, 'robbery_biz': 9, 'burglary_biz': 19}
pudding-mill-lane {'shoplifting': 6, 'theft_person': 46, 'robbery_biz': 27, 'burglary_biz': 30}
west-silvertown {'shoplifting': 13, 'theft_person': 46, 'robbery_biz': 30, 'burglary_biz': 72}
oakwood {'shoplifting': 13, 'theft_person': 8, 'robbery_biz': 15, 'burglary_biz': 16}
upney {'shoplifting': 2, 'theft_person': 12, 'robbery_biz': 12, 'burglary_biz': 17}
wood-street {'shoplifting': 27, 'theft_person': 25, 'robbery_biz': 10, 'burglary_biz': 33}
canons-park {'shoplifting': 15, 'theft_person': 10, 'robbery_biz': 8, 'burglary_biz': 25}
wapping {'shoplifting': 27, 'theft_person': 13, 'robbery_biz': 8, 'burglary_biz': 47}
eastcote {'shoplifting': 104, 'theft_person': 9, 'robbery_biz': 6, 'burglary_biz': 15}
bush-hill-park {'shoplifting': 125, 'theft_person': 12, 'robbery_biz': 17, 'burglary_biz': 13}
northwood {'shoplifting': 157, 'theft_person': 3, 'robbery_biz': 16, 'burglary_biz': 20}
caledonian-road-and-barnsbury {'shoplifting': 301, 'theft_person': 31, 'robbery_biz': 32, 'burglary_biz': 34}
cyprus {'shoplifting': 0, 'theft_person': 26, 'robbery_biz': 17, 'burglary_biz': 18}
south-harrow {'shoplifting': 45, 'theft_person': 27, 'robbery_biz': 41, 'burglary_biz': 23}
redbridge {'shoplifting': 1, 'theft_person': 16, 'robbery_biz': 11, 'burglary_biz': 17}
beckton {'shoplifting': 34, 'theft_person': 32, 'robbery_biz': 29, 'burglary_biz': 16}
totteridge-and-whetstone {'shoplifting': 81, 'theft_person': 11, 'robbery_biz': 10, 'burglary_biz': 19}
wanstead {'shoplifting': 33, 'theft_person': 11, 'robbery_biz': 12, 'burglary_biz': 35}
leyton-midland-road {'shoplifting': 14, 'theft_person': 31, 'robbery_biz': 17, 'burglary_biz': 36}
ealing-common {'shoplifting': 39, 'theft_person': 10, 'robbery_biz': 2, 'burglary_biz': 21}
wimbledon-park {'shoplifting': 31, 'theft_person': 3, 'robbery_biz': 1, 'burglary_biz': 3}
snaresbrook {'shoplifting': 363, 'theft_person': 8, 'robbery_biz': 17, 'burglary_biz': 31}
white-hart-lane {'shoplifting': 35, 'theft_person': 122, 'robbery_biz': 62, 'burglary_biz': 64}
brent-cross {'shoplifting': 33, 'theft_person': 11, 'robbery_biz': 13, 'burglary_biz': 26}
perivale {'shoplifting': 75, 'theft_person': 11, 'robbery_biz': 11, 'burglary_biz': 15}
park-royal {'shoplifting': 165, 'theft_person': 11, 'robbery_biz': 24, 'burglary_biz': 30}
osterley {'shoplifting': 1, 'theft_person': 2, 'robbery_biz': 2, 'burglary_biz': 14}
sudbury-hill {'shoplifting': 12, 'theft_person': 9, 'robbery_biz': 7, 'burglary_biz': 9}
sudbury-town {'shoplifting': 0, 'theft_person': 13, 'robbery_biz': 7, 'burglary_biz': 8}
hornchurch {'shoplifting': 9, 'theft_person': 6, 'robbery_biz': 7, 'burglary_biz': 11}
prince-regent {'shoplifting': 15, 'theft_person': 22, 'robbery_biz': 15, 'burglary_biz': 9}
mill-hill-east {'shoplifting': 109, 'theft_person': 7, 'robbery_biz': 7, 'burglary_biz': 23}
south-ruislip {'shoplifting': 58, 'theft_person': 14, 'robbery_biz': 12, 'burglary_biz': 22}
star-lane {'shoplifting': 10, 'theft_person': 49, 'robbery_biz': 30, 'burglary_biz': 39}
CRIME DONE
