Scotland's Census 2022 - National Records of Scotland
Table MV204 - Country of birth (10) by religion (6)
All people
,"All people","All people","All people","All people","All people","All people","All people","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Africa","Africa","Africa","Africa","Africa","Africa","Africa","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other"
,"All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated"
"S00135307",144,82,41,2,2,-,17,129,71,40,2,2,-,17,123,71,34,2,2,-,16,14,10,2,-,-,-,2,4,2,-,-,2,-,-,105,59,32,2,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,2,2,-,-,-,1,2,1,1,-,-,-,-,2,-,2,-,-,-,-,10,9,1,-,-,-,-,2,2,-,-,-,-,-
"S00135308",65,44,16,-,3,1,1,57,36,16,-,3,1,1,57,36,16,-,3,1,1,6,2,-,-,4,-,-,-,-,-,-,-,-,-,48,32,16,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-
"S00135309",156,87,32,5,11,10,11,146,87,30,5,11,5,8,142,84,30,4,11,5,8,12,7,-,-,2,1,-,-,-,-,-,-,-,-,130,77,30,4,7,6,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,-,1,-,-,-,-,-,-,-,-,-,-,10,-,1,-,-,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135310",153,84,48,4,8,8,1,149,82,48,4,3,9,1,137,78,48,1,4,5,1,6,7,2,-,-,-,-,-,-,-,-,-,-,-,131,76,46,1,4,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,5,-,3,4,2,-,1,1,-,-,3,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135311",151,88,28,10,7,2,15,141,86,28,6,6,-,11,131,84,28,5,6,-,11,19,9,4,-,4,-,4,2,2,-,-,-,-,-,110,73,24,5,5,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,8,-,2,-,-,-,4,-,-,2,1,-,-,3,-,-,-,-,-,1,3,1,-,1,-,-,1,2,2,-,-,-,-,-
"S00135312",187,137,30,4,1,8,9,172,135,29,-,-,6,5,160,124,29,-,-,6,4,9,9,-,-,-,-,-,-,-,-,-,-,-,-,154,115,29,-,-,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,11,-,-,-,-,4,2,1,-,-,1,-,-,9,1,-,4,-,4,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-
"S00135313",181,95,61,1,9,-,16,178,95,61,1,7,-,16,177,95,61,-,6,-,16,4,4,-,-,-,-,-,-,-,-,-,-,-,-,174,92,61,-,6,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,2,-,-,-,2,-,-
"S00135314",173,119,28,7,8,-,5,169,118,28,7,5,-,5,154,109,28,5,5,-,5,9,5,-,1,2,-,-,-,-,-,-,-,-,-,146,104,28,4,2,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,9,-,6,-,-,-,1,-,-,-,1,-,-,1,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00135315",108,74,13,11,5,1,6,105,74,13,7,5,-,6,98,70,13,4,5,-,6,10,7,-,-,3,-,-,-,-,-,-,-,-,-,88,63,13,4,2,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,4,-,3,-,-,-,-,-,-,-,-,-,-,7,-,-,2,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
