SuperWEB2(tm)

"Census 2022-Person-2Fv1"
"Scotland's Census 2022 - National Records of Scotland Table UV606 - Occupation All people aged 16 and over in employment the week before the census"
"Intermediate Zone - Data Zone 2011 by Occupation (Grouped) by Economic activity"
"Counting: Individuals"

Filters:
"Default Summation","Individuals"
"Economic activity","1 - 13"

"Counting","Economic activity","Intermediate Zone - Data Zone 2011","Occupation (Grouped)","Count",
"Individuals","1 - 13","S01006506","All people aged 16 and over in employment the week before the census",485
"Individuals","1 - 13","S01006506","Managers, Directors and Senior Officials - Total",27
"Individuals","1 - 13","S01006506","Corporate Managers and Directors",17
"Individuals","1 - 13","S01006506","Other Managers and Proprietors",10
"Individuals","1 - 13","S01006506","Professional Occupations - Total",107
"Individuals","1 - 13","S01006506","Science, Research, Engineering and Technology Professionals",35
"Individuals","1 - 13","S01006506","Health Professionals",24
"Individuals","1 - 13","S01006506","Teaching and Educational Professionals",21
"Individuals","1 - 13","S01006506","Business, Media and Public Service Professionals",27
"Individuals","1 - 13","S01006506","Associate Professional and Technical Occupations - Total",90
"Individuals","1 - 13","S01006506","Science, Engineering and Technology Associate Professionals",24
"Individuals","1 - 13","S01006506","Health and Social Care Associate Professionals",11
"Individuals","1 - 13","S01006506","Protective Service Occupations",3
"Individuals","1 - 13","S01006506","Culture, Media and Sports Occupations",11
"Individuals","1 - 13","S01006506","Business and Public Service Associate Professionals",42
"Individuals","1 - 13","S01006506","Administrative and Secretarial Occupations - Total",43
"Individuals","1 - 13","S01006506","Administrative Occupations",30
"Individuals","1 - 13","S01006506","Secretarial and related Occupations",11
"Individuals","1 - 13","S01006506","Skilled Trade Occupations - Total",67
"Individuals","1 - 13","S01006506","Skilled Agriculture and related Trades",8
"Individuals","1 - 13","S01006506","Skilled Metal, Electrical and Electronic Trades",30
"Individuals","1 - 13","S01006506","Skilled Construction and Building Trades",13
"Individuals","1 - 13","S01006506","Textiles, Printing and Other Skilled Trades",14
"Individuals","1 - 13","S01006506","Caring, Leisure and Other Service Occupations - Total",54
"Individuals","1 - 13","S01006506","Caring Personal Service Occupations",43
"Individuals","1 - 13","S01006506","Leisure, Travel and Related Personal Service",11
"Individuals","1 - 13","S01006506","Community and Civil Enforcement Occupations",0
"Individuals","1 - 13","S01006506","Sales and Customer Service Occupations - Total",24
"Individuals","1 - 13","S01006506","Sales Occupations",20
"Individuals","1 - 13","S01006506","Customer Service Occupations",4
"Individuals","1 - 13","S01006506","Process, Plant and Machine Operatives - Total",30
"Individuals","1 - 13","S01006506","Process, Plant and Machine Operatives",14
"Individuals","1 - 13","S01006506","Transport and Mobile machine Drivers and Operatives",15
"Individuals","1 - 13","S01006506","Elementary Occupations - Total",45
"Individuals","1 - 13","S01006506","Elementary Trades and Related Occupations",11
"Individuals","1 - 13","S01006506","Elementary Administration and Service Occupations",34
"Individuals","1 - 13","S01006507","All people aged 16 and over in employment the week before the census",332
"Individuals","1 - 13","S01006507","Managers, Directors and Senior Officials - Total",21
"Individuals","1 - 13","S01006507","Corporate Managers and Directors",13
"Individuals","1 - 13","S01006507","Other Managers and Proprietors",8
"Individuals","1 - 13","S01006507","Professional Occupations - Total",89
"Individuals","1 - 13","S01006507","Science, Research, Engineering and Technology Professionals",23
"Individuals","1 - 13","S01006507","Health Professionals",24
"Individuals","1 - 13","S01006507","Teaching and Educational Professionals",14
"Individuals","1 - 13","S01006507","Business, Media and Public Service Professionals",28
"Individuals","1 - 13","S01006507","Associate Professional and Technical Occupations - Total",36
"Individuals","1 - 13","S01006507","Science, Engineering and Technology Associate Professionals",9
"Individuals","1 - 13","S01006507","Health and Social Care Associate Professionals",10
"Individuals","1 - 13","S01006507","Protective Service Occupations",4
"Individuals","1 - 13","S01006507","Culture, Media and Sports Occupations",3
"Individuals","1 - 13","S01006507","Business and Public Service Associate Professionals",14
"Individuals","1 - 13","S01006507","Administrative and Secretarial Occupations - Total",40
"Individuals","1 - 13","S01006507","Administrative Occupations",29
"Individuals","1 - 13","S01006507","Secretarial and related Occupations",12
"Individuals","1 - 13","S01006507","Skilled Trade Occupations - Total",41
"Individuals","1 - 13","S01006507","Skilled Agriculture and related Trades",4
"Individuals","1 - 13","S01006507","Skilled Metal, Electrical and Electronic Trades",9
"Individuals","1 - 13","S01006507","Skilled Construction and Building Trades",14
"Individuals","1 - 13","S01006507","Textiles, Printing and Other Skilled Trades",14
"Individuals","1 - 13","S01006507","Caring, Leisure and Other Service Occupations - Total",33
"Individuals","1 - 13","S01006507","Caring Personal Service Occupations",26
"Individuals","1 - 13","S01006507","Leisure, Travel and Related Personal Service",9
"Individuals","1 - 13","S01006507","Community and Civil Enforcement Occupations",0
"Individuals","1 - 13","S01006507","Sales and Customer Service Occupations - Total",16
"Individuals","1 - 13","S01006507","Sales Occupations",12
"Individuals","1 - 13","S01006507","Customer Service Occupations",2
"Individuals","1 - 13","S01006507","Process, Plant and Machine Operatives - Total",21
"Individuals","1 - 13","S01006507","Process, Plant and Machine Operatives",8
"Individuals","1 - 13","S01006507","Transport and Mobile machine Drivers and Operatives",13
"Individuals","1 - 13","S01006507","Elementary Occupations - Total",34
"Individuals","1 - 13","S01006507","Elementary Trades and Related Occupations",3
"Individuals","1 - 13","S01006507","Elementary Administration and Service Occupations",31
"Individuals","1 - 13","S01006508","All people aged 16 and over in employment the week before the census",316
"Individuals","1 - 13","S01006508","Managers, Directors and Senior Officials - Total",29
"Individuals","1 - 13","S01006508","Corporate Managers and Directors",14
"Individuals","1 - 13","S01006508","Other Managers and Proprietors",15
"Individuals","1 - 13","S01006508","Professional Occupations - Total",79
"Individuals","1 - 13","S01006508","Science, Research, Engineering and Technology Professionals",19
"Individuals","1 - 13","S01006508","Health Professionals",20
"Individuals","1 - 13","S01006508","Teaching and Educational Professionals",13
"Individuals","1 - 13","S01006508","Business, Media and Public Service Professionals",26
"Individuals","1 - 13","S01006508","Associate Professional and Technical Occupations - Total",54
"Individuals","1 - 13","S01006508","Science, Engineering and Technology Associate Professionals",14
"Individuals","1 - 13","S01006508","Health and Social Care Associate Professionals",7
"Individuals","1 - 13","S01006508","Protective Service Occupations",9
"Individuals","1 - 13","S01006508","Culture, Media and Sports Occupations",8
"Individuals","1 - 13","S01006508","Business and Public Service Associate Professionals",19
"Individuals","1 - 13","S01006508","Administrative and Secretarial Occupations - Total",38
"Individuals","1 - 13","S01006508","Administrative Occupations",27
"Individuals","1 - 13","S01006508","Secretarial and related Occupations",9
"Individuals","1 - 13","S01006508","Skilled Trade Occupations - Total",28
"Individuals","1 - 13","S01006508","Skilled Agriculture and related Trades",3
"Individuals","1 - 13","S01006508","Skilled Metal, Electrical and Electronic Trades",11
"Individuals","1 - 13","S01006508","Skilled Construction and Building Trades",7
"Individuals","1 - 13","S01006508","Textiles, Printing and Other Skilled Trades",8
"Individuals","1 - 13","S01006508","Caring, Leisure and Other Service Occupations - Total",25
"Individuals","1 - 13","S01006508","Caring Personal Service Occupations",23
"Individuals","1 - 13","S01006508","Leisure, Travel and Related Personal Service",4
"Individuals","1 - 13","S01006508","Community and Civil Enforcement Occupations",0
"Individuals","1 - 13","S01006508","Sales and Customer Service Occupations - Total",18
"Individuals","1 - 13","S01006508","Sales Occupations",17
"Individuals","1 - 13","S01006508","Customer Service Occupations",1
"Individuals","1 - 13","S01006508","Process, Plant and Machine Operatives - Total",17
"Individuals","1 - 13","S01006508","Process, Plant and Machine Operatives",8
"Individuals","1 - 13","S01006508","Transport and Mobile machine Drivers and Operatives",9
"Individuals","1 - 13","S01006508","Elementary Occupations - Total",27
"Individuals","1 - 13","S01006508","Elementary Trades and Related Occupations",4
"Individuals","1 - 13","S01006508","Elementary Administration and Service Occupations",23
"Individuals","1 - 13","S01006509","All people aged 16 and over in employment the week before the census",265
"Individuals","1 - 13","S01006509","Managers, Directors and Senior Officials - Total",23
"Individuals","1 - 13","S01006509","Corporate Managers and Directors",18
"Individuals","1 - 13","S01006509","Other Managers and Proprietors",5
"Individuals","1 - 13","S01006509","Professional Occupations - Total",65
"Individuals","1 - 13","S01006509","Science, Research, Engineering and Technology Professionals",17
"Individuals","1 - 13","S01006509","Health Professionals",16
"Individuals","1 - 13","S01006509","Teaching and Educational Professionals",16
"Individuals","1 - 13","S01006509","Business, Media and Public Service Professionals",16
"Individuals","1 - 13","S01006509","Associate Professional and Technical Occupations - Total",39
"Individuals","1 - 13","S01006509","Science, Engineering and Technology Associate Professionals",9
"Individuals","1 - 13","S01006509","Health and Social Care Associate Professionals",8
"Individuals","1 - 13","S01006509","Protective Service Occupations",3
"Individuals","1 - 13","S01006509","Culture, Media and Sports Occupations",4
"Individuals","1 - 13","S01006509","Business and Public Service Associate Professionals",15
"Individuals","1 - 13","S01006509","Administrative and Secretarial Occupations - Total",27
"Individuals","1 - 13","S01006509","Administrative Occupations",22
"Individuals","1 - 13","S01006509","Secretarial and related Occupations",5
"Individuals","1 - 13","S01006509","Skilled Trade Occupations - Total",30
"Individuals","1 - 13","S01006509","Skilled Agriculture and related Trades",5
"Individuals","1 - 13","S01006509","Skilled Metal, Electrical and Electronic Trades",7
"Individuals","1 - 13","S01006509","Skilled Construction and Building Trades",9
"Individuals","1 - 13","S01006509","Textiles, Printing and Other Skilled Trades",9
"Individuals","1 - 13","S01006509","Caring, Leisure and Other Service Occupations - Total",24
"Individuals","1 - 13","S01006509","Caring Personal Service Occupations",19
"Individuals","1 - 13","S01006509","Leisure, Travel and Related Personal Service",7
"Individuals","1 - 13","S01006509","Community and Civil Enforcement Occupations",0
"Individuals","1 - 13","S01006509","Sales and Customer Service Occupations - Total",23
"Individuals","1 - 13","S01006509","Sales Occupations",17
"Individuals","1 - 13","S01006509","Customer Service Occupations",3
"Individuals","1 - 13","S01006509","Process, Plant and Machine Operatives - Total",11
"Individuals","1 - 13","S01006509","Process, Plant and Machine Operatives",5
"Individuals","1 - 13","S01006509","Transport and Mobile machine Drivers and Operatives",6
"Individuals","1 - 13","S01006509","Elementary Occupations - Total",28
"Individuals","1 - 13","S01006509","Elementary Trades and Related Occupations",0
"Individuals","1 - 13","S01006509","Elementary Administration and Service Occupations",28
"Individuals","1 - 13","S01006510","All people aged 16 and over in employment the week before the census",284
"Individuals","1 - 13","S01006510","Managers, Directors and Senior Officials - Total",19
"Individuals","1 - 13","S01006510","Corporate Managers and Directors",7
"Individuals","1 - 13","S01006510","Other Managers and Proprietors",8
"Individuals","1 - 13","S01006510","Professional Occupations - Total",74
"Individuals","1 - 13","S01006510","Science, Research, Engineering and Technology Professionals",19
"Individuals","1 - 13","S01006510","Health Professionals",17
"Individuals","1 - 13","S01006510","Teaching and Educational Professionals",12
"Individuals","1 - 13","S01006510","Business, Media and Public Service Professionals",18
"Individuals","1 - 13","S01006510","Associate Professional and Technical Occupations - Total",36
"Individuals","1 - 13","S01006510","Science, Engineering and Technology Associate Professionals",8
"Individuals","1 - 13","S01006510","Health and Social Care Associate Professionals",4
"Individuals","1 - 13","S01006510","Protective Service Occupations",4
"Individuals","1 - 13","S01006510","Culture, Media and Sports Occupations",2
"Individuals","1 - 13","S01006510","Business and Public Service Associate Professionals",19
"Individuals","1 - 13","S01006510","Administrative and Secretarial Occupations - Total",24
"Individuals","1 - 13","S01006510","Administrative Occupations",20
"Individuals","1 - 13","S01006510","Secretarial and related Occupations",4
"Individuals","1 - 13","S01006510","Skilled Trade Occupations - Total",44
"Individuals","1 - 13","S01006510","Skilled Agriculture and related Trades",5
"Individuals","1 - 13","S01006510","Skilled Metal, Electrical and Electronic Trades",12
"Individuals","1 - 13","S01006510","Skilled Construction and Building Trades",18
"Individuals","1 - 13","S01006510","Textiles, Printing and Other Skilled Trades",6
"Individuals","1 - 13","S01006510","Caring, Leisure and Other Service Occupations - Total",32
"Individuals","1 - 13","S01006510","Caring Personal Service Occupations",22
"Individuals","1 - 13","S01006510","Leisure, Travel and Related Personal Service",7
"Individuals","1 - 13","S01006510","Community and Civil Enforcement Occupations",0
"Individuals","1 - 13","S01006510","Sales and Customer Service Occupations - Total",18
"Individuals","1 - 13","S01006510","Sales Occupations",16
"Individuals","1 - 13","S01006510","Customer Service Occupations",4
"Individuals","1 - 13","S01006510","Process, Plant and Machine Operatives - Total",15
"Individuals","1 - 13","S01006510","Process, Plant and Machine Operatives",8
"Individuals","1 - 13","S01006510","Transport and Mobile machine Drivers and Operatives",7
"Individuals","1 - 13","S01006510","Elementary Occupations - Total",25
"Individuals","1 - 13","S01006510","Elementary Trades and Related Occupations",4
"Individuals","1 - 13","S01006510","Elementary Administration and Service Occupations",21
"Individuals","1 - 13","S01006511","All people aged 16 and over in employment the week before the census",303
"Individuals","1 - 13","S01006511","Managers, Directors and Senior Officials - Total",29
"Individuals","1 - 13","S01006511","Corporate Managers and Directors",12
"Individuals","1 - 13","S01006511","Other Managers and Proprietors",14
"Individuals","1 - 13","S01006511","Professional Occupations - Total",82
"Individuals","1 - 13","S01006511","Science, Research, Engineering and Technology Professionals",23
"Individuals","1 - 13","S01006511","Health Professionals",19
"Individuals","1 - 13","S01006511","Teaching and Educational Professionals",16
"Individuals","1 - 13","S01006511","Business, Media and Public Service Professionals",26
"Individuals","1 - 13","S01006511","Associate Professional and Technical Occupations - Total",64
"Individuals","1 - 13","S01006511","Science, Engineering and Technology Associate Professionals",16
"Individuals","1 - 13","S01006511","Health and Social Care Associate Professionals",8
"Individuals","1 - 13","S01006511","Protective Service Occupations",2
"Individuals","1 - 13","S01006511","Culture, Media and Sports Occupations",5
"Individuals","1 - 13","S01006511","Business and Public Service Associate Professionals",33
"Individuals","1 - 13","S01006511","Administrative and Secretarial Occupations - Total",34
"Individuals","1 - 13","S01006511","Administrative Occupations",29
"Individuals","1 - 13","S01006511","Secretarial and related Occupations",7
"Individuals","1 - 13","S01006511","Skilled Trade Occupations - Total",26
"Individuals","1 - 13","S01006511","Skilled Agriculture and related Trades",5
"Individuals","1 - 13","S01006511","Skilled Metal, Electrical and Electronic Trades",12
"Individuals","1 - 13","S01006511","Skilled Construction and Building Trades",8
"Individuals","1 - 13","S01006511","Textiles, Printing and Other Skilled Trades",6
"Individuals","1 - 13","S01006511","Caring, Leisure and Other Service Occupations - Total",17
"Individuals","1 - 13","S01006511","Caring Personal Service Occupations",11
"Individuals","1 - 13","S01006511","Leisure, Travel and Related Personal Service",5
"Individuals","1 - 13","S01006511","Community and Civil Enforcement Occupations",0
"Individuals","1 - 13","S01006511","Sales and Customer Service Occupations - Total",18
"Individuals","1 - 13","S01006511","Sales Occupations",19
"Individuals","1 - 13","S01006511","Customer Service Occupations",3
"Individuals","1 - 13","S01006511","Process, Plant and Machine Operatives - Total",9
"Individuals","1 - 13","S01006511","Process, Plant and Machine Operatives",2
"Individuals","1 - 13","S01006511","Transport and Mobile machine Drivers and Operatives",7
"Individuals","1 - 13","S01006511","Elementary Occupations - Total",24
"Individuals","1 - 13","S01006511","Elementary Trades and Related Occupations",6
"Individuals","1 - 13","S01006511","Elementary Administration and Service Occupations",18
"Individuals","1 - 13","S01006512","All people aged 16 and over in employment the week before the census",253
"Individuals","1 - 13","S01006512","Managers, Directors and Senior Officials - Total",26
