lat,lng,cat
51.414948,-2.499162,shoplifting
51.413537,-2.498989,shoplifting
51.408184,-2.501791,burglary_biz
51.405375,-2.511062,shoplifting
51.412074,-2.49197,burglary_biz
51.408997,-2.488242,shoplifting
51.408997,-2.488242,shoplifting
51.408997,-2.488242,shoplifting
51.408997,-2.488242,shoplifting
51.409328,-2.473178,shoplifting
51.39768,-2.357619,burglary_biz
51.397161,-2.344708,burglary_biz
51.396723,-2.39267,burglary_biz
51.396723,-2.39267,burglary_biz
51.392611,-2.354102,shoplifting
51.391507,-2.350342,shoplifting
51.391507,-2.350342,shoplifting
51.391507,-2.350342,shoplifting
51.391507,-2.350342,shoplifting
51.391507,-2.350342,shoplifting
51.383494,-2.359535,robbery_biz
51.382537,-2.360921,shoplifting
51.380857,-2.360606,shoplifting
51.380857,-2.360606,shoplifting
51.380033,-2.359264,shoplifting
51.38306,-2.360609,shoplifting
51.380842,-2.362374,shoplifting
51.379472,-2.360595,shoplifting
51.382714,-2.359026,shoplifting
51.380842,-2.362374,shoplifting
51.379472,-2.360595,shoplifting
51.381578,-2.360052,shoplifting
51.380842,-2.362374,shoplifting
51.383494,-2.359535,shoplifting
51.380033,-2.359264,shoplifting
51.379049,-2.360592,shoplifting
51.382714,-2.359026,shoplifting
51.382714,-2.359026,shoplifting
51.382714,-2.359026,shoplifting
51.379049,-2.360592,shoplifting
51.379472,-2.360595,shoplifting
51.379049,-2.360592,shoplifting
51.378327,-2.359595,shoplifting
51.378235,-2.359264,shoplifting
51.378235,-2.359264,shoplifting
51.378327,-2.359595,shoplifting
51.378904,-2.358249,shoplifting
51.378235,-2.359264,shoplifting
51.378904,-2.358249,shoplifting
51.378235,-2.359264,shoplifting
51.378904,-2.358249,shoplifting
51.378327,-2.359595,shoplifting
51.378327,-2.359595,shoplifting
51.378904,-2.358249,shoplifting
51.378327,-2.359595,shoplifting
51.378637,-2.357112,shoplifting
51.378904,-2.358249,shoplifting
51.378327,-2.359595,shoplifting
51.378327,-2.359595,shoplifting
51.387964,-2.365017,burglary_biz
51.385985,-2.359713,burglary_biz
51.405941,-2.375683,burglary_biz
51.402721,-2.373184,burglary_biz
51.389009,-2.364608,burglary_biz
51.382808,-2.388699,shoplifting
51.385311,-2.382197,burglary_biz
51.382368,-2.363248,burglary_biz
51.381953,-2.363632,burglary_biz
51.381292,-2.365107,shoplifting
51.381317,-2.362923,shoplifting
51.381317,-2.362923,shoplifting
51.379844,-2.298541,theft_person
51.338623,-2.310102,burglary_biz
51.378595,-2.353404,burglary_biz
51.379559,-2.375697,shoplifting
51.375895,-2.385336,burglary_biz
51.374919,-2.375817,burglary_biz
51.377044,-2.377659,robbery_biz
51.377044,-2.377659,shoplifting
51.377044,-2.377659,shoplifting
51.377044,-2.377659,shoplifting
51.377044,-2.377659,shoplifting
51.374573,-2.371547,burglary_biz
51.370523,-2.392014,burglary_biz
51.370523,-2.392014,burglary_biz
51.369007,-2.393711,burglary_biz
