lat,lng,cat
53.922867,-1.822203,burglary_biz
53.921744,-1.816574,burglary_biz
53.925151,-1.823412,burglary_biz
53.924437,-1.820308,shoplifting
53.934178,-1.838452,burglary_biz
53.926772,-1.825202,burglary_biz
53.925483,-1.823045,shoplifting
53.925923,-1.828632,shoplifting
53.925483,-1.823045,shoplifting
53.925483,-1.823045,shoplifting
53.925483,-1.823045,shoplifting
53.925483,-1.823045,shoplifting
53.925483,-1.823045,shoplifting
53.925483,-1.823045,shoplifting
53.925401,-1.81604,burglary_biz
53.926191,-1.815854,burglary_biz
53.927507,-1.817995,shoplifting
53.927507,-1.817995,shoplifting
53.927507,-1.817995,shoplifting
53.916875,-1.75702,burglary_biz
53.914239,-1.747155,burglary_biz
53.8919,-1.741158,burglary_biz
53.887796,-1.734192,robbery_biz
53.889343,-1.731071,shoplifting
53.891132,-1.747705,burglary_biz
53.865127,-1.854,shoplifting
53.858327,-1.817596,burglary_biz
53.853936,-1.820351,burglary_biz
53.851138,-1.775672,burglary_biz
53.850148,-1.760933,burglary_biz
53.854122,-1.766474,shoplifting
53.847498,-1.837023,shoplifting
53.847498,-1.837023,shoplifting
53.852439,-1.842035,shoplifting
53.847498,-1.837023,shoplifting
53.852439,-1.842035,shoplifting
53.852439,-1.842035,shoplifting
53.847498,-1.837023,shoplifting
53.847498,-1.837023,shoplifting
53.852439,-1.842035,shoplifting
53.852439,-1.842035,shoplifting
53.847498,-1.837023,shoplifting
53.847423,-1.835351,shoplifting
53.847498,-1.837023,shoplifting
53.852439,-1.842035,shoplifting
53.847498,-1.837023,shoplifting
53.852439,-1.842035,shoplifting
53.852439,-1.842035,shoplifting
53.847498,-1.837023,shoplifting
53.845262,-1.820115,burglary_biz
53.846568,-1.827739,burglary_biz
53.84917,-1.83124,robbery_biz
53.845225,-1.837685,robbery_biz
53.845225,-1.837685,robbery_biz
53.846869,-1.8378,shoplifting
53.846869,-1.8378,shoplifting
53.846869,-1.8378,shoplifting
53.842954,-1.773148,burglary_biz
53.848597,-1.76763,burglary_biz
53.842954,-1.773148,shoplifting
53.848597,-1.76763,shoplifting
53.848597,-1.76763,shoplifting
53.848597,-1.76763,shoplifting
53.842636,-1.771265,robbery_biz
53.841122,-1.76916,robbery_biz
53.838373,-1.76989,shoplifting
53.840971,-1.765742,shoplifting
53.838488,-1.718358,robbery_biz
53.84216,-1.736434,burglary_biz
53.840131,-1.737343,burglary_biz
53.84208,-1.736814,burglary_biz
53.841489,-1.729599,burglary_biz
53.84208,-1.736814,burglary_biz
53.841807,-1.731269,burglary_biz
53.841489,-1.729599,burglary_biz
53.84126,-1.731896,burglary_biz
53.857835,-1.724553,burglary_biz
53.857835,-1.724553,burglary_biz
53.83626,-1.722856,burglary_biz
53.858418,-1.724002,robbery_biz
53.843546,-1.745423,burglary_biz
53.845885,-1.742475,robbery_biz
53.846881,-1.792658,burglary_biz
53.84644,-1.782415,burglary_biz
53.844126,-1.817445,burglary_biz
53.841952,-1.795995,burglary_biz
53.847367,-1.809101,theft_person
53.841581,-1.794097,theft_person
53.840579,-1.802217,theft_person
53.83231,-1.802226,burglary_biz
53.828617,-1.808518,burglary_biz
53.833282,-1.729318,shoplifting
53.831781,-1.717385,burglary_biz
53.83031,-1.719051,burglary_biz
53.828337,-1.720599,burglary_biz
53.830773,-1.713274,shoplifting
53.828337,-1.720599,theft_person
53.83031,-1.719051,theft_person
53.830773,-1.713274,theft_person
53.835624,-1.739681,burglary_biz
53.836272,-1.727825,burglary_biz
53.835889,-1.733328,shoplifting
53.835889,-1.733328,shoplifting
53.830885,-1.707561,burglary_biz
53.832831,-1.720614,burglary_biz
53.836332,-1.734814,burglary_biz
53.830649,-1.737463,burglary_biz
53.830649,-1.737463,burglary_biz
53.83202,-1.735586,burglary_biz
53.836332,-1.765054,burglary_biz
53.834908,-1.767554,robbery_biz
53.835908,-1.773277,robbery_biz
53.835503,-1.77105,shoplifting
53.835503,-1.77105,shoplifting
53.835908,-1.773277,shoplifting
53.835503,-1.77105,shoplifting
53.835503,-1.77105,shoplifting
53.829069,-1.783417,burglary_biz
53.832944,-1.779568,shoplifting
53.832944,-1.779568,shoplifting
53.834619,-1.791229,shoplifting
53.832944,-1.779568,shoplifting
53.832944,-1.779568,shoplifting
53.832944,-1.779568,theft_person
53.835036,-1.778129,burglary_biz
53.835033,-1.776594,burglary_biz
53.835176,-1.780939,robbery_biz
53.832823,-1.777135,shoplifting
53.83762,-1.780653,shoplifting
53.836198,-1.784626,shoplifting
53.836198,-1.784626,shoplifting
53.836198,-1.784626,shoplifting
53.836198,-1.784626,shoplifting
53.834116,-1.777766,shoplifting
53.831028,-1.778545,theft_person
53.835176,-1.780939,theft_person
53.832823,-1.777135,theft_person
53.837564,-1.789497,burglary_biz
53.829793,-1.766853,robbery_biz
53.830507,-1.773898,burglary_biz
53.828082,-1.774641,burglary_biz
53.838397,-1.756651,burglary_biz
53.833252,-1.866601,burglary_biz
53.832215,-1.828178,burglary_biz
53.831243,-1.833743,burglary_biz
53.822966,-1.742509,burglary_biz
53.825521,-1.743678,burglary_biz
53.825753,-1.747019,burglary_biz
53.82601,-1.737006,burglary_biz
53.824872,-1.738608,burglary_biz
53.824856,-1.735631,robbery_biz
53.819357,-1.76208,burglary_biz
53.821542,-1.762675,burglary_biz
53.821955,-1.771332,burglary_biz
53.81557,-1.774495,shoplifting
53.823947,-1.718942,burglary_biz
53.826812,-1.722128,burglary_biz
53.823947,-1.718942,burglary_biz
53.82625,-1.724015,burglary_biz
53.824083,-1.719533,burglary_biz
53.82671,-1.728312,burglary_biz
53.824577,-1.731273,burglary_biz
53.819004,-1.731035,burglary_biz
53.819007,-1.716544,robbery_biz
53.816145,-1.711339,burglary_biz
53.815434,-1.710949,burglary_biz
53.815434,-1.710949,burglary_biz
53.818581,-1.71155,robbery_biz
53.827418,-1.712279,burglary_biz
53.829248,-1.706858,robbery_biz
53.829502,-1.711566,shoplifting
53.829502,-1.711566,shoplifting
53.829502,-1.711566,shoplifting
53.819647,-1.749988,burglary_biz
53.819839,-1.743045,burglary_biz
53.816946,-1.739159,burglary_biz
53.818948,-1.738159,burglary_biz
53.818225,-1.736295,burglary_biz
53.815496,-1.737938,shoplifting
53.813258,-1.755113,burglary_biz
53.814806,-1.747085,robbery_biz
53.811358,-1.748928,burglary_biz
53.815987,-1.781115,burglary_biz
53.812899,-1.778139,burglary_biz
53.81482,-1.797509,burglary_biz
53.816019,-1.789089,robbery_biz
53.8175,-1.815176,burglary_biz
53.815227,-1.815292,burglary_biz
53.813922,-1.814781,burglary_biz
53.815227,-1.815292,robbery_biz
53.815865,-1.81538,shoplifting
53.815865,-1.81538,shoplifting
53.815865,-1.81538,shoplifting
53.820226,-1.810804,theft_person
53.808352,-1.805042,burglary_biz
53.815626,-1.806193,burglary_biz
53.797571,-1.867078,burglary_biz
53.811843,-1.731901,burglary_biz
53.816347,-1.7208,burglary_biz
53.816347,-1.7208,burglary_biz
53.818366,-1.727135,robbery_biz
53.813243,-1.727169,robbery_biz
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.816347,-1.7208,shoplifting
53.810313,-1.727097,burglary_biz
53.809991,-1.723925,burglary_biz
53.807274,-1.794356,shoplifting
53.807638,-1.781295,burglary_biz
53.807638,-1.781295,burglary_biz
53.806036,-1.770689,burglary_biz
53.806551,-1.772129,robbery_biz
53.808439,-1.767897,robbery_biz
53.81555,-1.764046,shoplifting
53.81555,-1.764046,shoplifting
53.806282,-1.777278,shoplifting
53.8077,-1.732413,burglary_biz
53.809443,-1.727862,burglary_biz
53.806325,-1.749232,burglary_biz
53.806325,-1.749232,burglary_biz
53.806392,-1.726241,robbery_biz
53.814928,-1.832349,burglary_biz
53.814928,-1.832349,robbery_biz
53.815234,-1.832728,robbery_biz
53.81107,-1.830876,burglary_biz
53.804,-1.826866,burglary_biz
53.807346,-1.835371,burglary_biz
53.803069,-1.817274,burglary_biz
53.803069,-1.817274,burglary_biz
53.802928,-1.81793,shoplifting
53.801321,-1.787614,burglary_biz
53.798819,-1.712596,burglary_biz
53.798819,-1.712596,robbery_biz
53.799999,-1.713681,shoplifting
53.799999,-1.713681,shoplifting
53.799999,-1.713681,shoplifting
53.799999,-1.713681,shoplifting
53.799999,-1.713681,shoplifting
53.799999,-1.713681,shoplifting
53.805066,-1.716471,shoplifting
53.803886,-1.711423,shoplifting
53.803886,-1.711423,shoplifting
53.80231,-1.717993,robbery_biz
53.801574,-1.710573,robbery_biz
53.80249,-1.706604,robbery_biz
53.802017,-1.708766,shoplifting
53.801574,-1.710573,shoplifting
53.802017,-1.708766,shoplifting
53.801574,-1.710573,shoplifting
53.79404,-1.808144,shoplifting
53.802885,-1.808757,theft_person
53.798656,-1.800441,burglary_biz
53.789159,-1.786931,burglary_biz
53.794152,-1.789183,shoplifting
53.794152,-1.789183,shoplifting
53.789159,-1.786931,theft_person
53.794152,-1.789183,theft_person
53.802243,-1.780594,theft_person
53.793114,-1.781963,burglary_biz
53.793742,-1.771758,robbery_biz
53.797601,-1.78786,shoplifting
53.797601,-1.78786,shoplifting
53.802087,-1.77358,burglary_biz
53.802087,-1.77358,robbery_biz
53.794736,-1.719106,burglary_biz
53.796888,-1.720838,theft_person
53.798239,-1.729908,burglary_biz
53.797133,-1.826894,burglary_biz
53.791753,-1.829284,shoplifting
53.790925,-1.848459,burglary_biz
53.791232,-1.842675,burglary_biz
53.793113,-1.844975,burglary_biz
53.790371,-1.8513,burglary_biz
53.787507,-1.768256,burglary_biz
53.786484,-1.769005,burglary_biz
53.792367,-1.757876,burglary_biz
53.788999,-1.768475,robbery_biz
53.786892,-1.771052,theft_person
53.788869,-1.785612,burglary_biz
53.783494,-1.780206,robbery_biz
53.783491,-1.778674,robbery_biz
53.78253,-1.784142,burglary_biz
53.784574,-1.78099,theft_person
53.784574,-1.78099,theft_person
53.792384,-1.740283,burglary_biz
53.788072,-1.754121,burglary_biz
53.786212,-1.754497,burglary_biz
53.788072,-1.754121,robbery_biz
53.788239,-1.756519,theft_person
53.784281,-1.738193,theft_person
53.782171,-1.738934,burglary_biz
53.785708,-1.721291,robbery_biz
53.783649,-1.713322,burglary_biz
53.786509,-1.71013,burglary_biz
53.787945,-1.70918,burglary_biz
53.789528,-1.709685,robbery_biz
53.787427,-1.710822,theft_person
53.787588,-1.717894,burglary_biz
53.787588,-1.717894,burglary_biz
53.792474,-1.724389,burglary_biz
53.792474,-1.724389,burglary_biz
53.791993,-1.726047,robbery_biz
53.791993,-1.726047,robbery_biz
53.78706,-1.718945,shoplifting
53.778116,-1.722267,robbery_biz
53.785969,-1.820216,theft_person
53.776617,-1.836159,burglary_biz
53.78478,-1.806775,burglary_biz
53.78478,-1.806775,robbery_biz
53.784203,-1.811239,theft_person
53.778937,-1.817864,burglary_biz
53.781931,-1.812813,burglary_biz
53.784705,-1.764947,burglary_biz
53.789907,-1.759363,burglary_biz
53.784705,-1.764947,burglary_biz
53.788934,-1.762723,burglary_biz
53.790196,-1.760196,theft_person
53.781283,-1.76137,burglary_biz
53.782075,-1.75748,shoplifting
53.782097,-1.759559,shoplifting
53.7798,-1.752576,burglary_biz
53.782086,-1.749543,robbery_biz
53.776765,-1.75833,theft_person
53.787237,-1.797793,burglary_biz
53.787237,-1.797793,burglary_biz
53.787237,-1.797793,burglary_biz
53.787237,-1.797793,robbery_biz
53.782779,-1.79745,shoplifting
53.782779,-1.79745,shoplifting
53.772027,-1.812932,shoplifting
53.787997,-1.79014,burglary_biz
53.786603,-1.789707,burglary_biz
53.787315,-1.786045,burglary_biz
53.787997,-1.79014,robbery_biz
53.786821,-1.791314,robbery_biz
53.779365,-1.78862,burglary_biz
53.778515,-1.795878,burglary_biz
53.780965,-1.788642,shoplifting
53.780965,-1.788642,shoplifting
53.780965,-1.788642,shoplifting
53.780965,-1.788642,shoplifting
53.780965,-1.788642,shoplifting
53.777312,-1.786324,burglary_biz
53.775976,-1.787893,burglary_biz
53.78166,-1.770572,shoplifting
53.779604,-1.767176,burglary_biz
53.777687,-1.774804,burglary_biz
53.777687,-1.774804,burglary_biz
53.776,-1.771566,burglary_biz
53.776222,-1.765435,burglary_biz
53.777111,-1.765399,burglary_biz
53.7761,-1.763098,burglary_biz
53.774506,-1.761499,theft_person
53.782955,-1.708668,burglary_biz
53.78215,-1.706655,burglary_biz
53.782391,-1.709491,robbery_biz
53.774612,-1.711517,burglary_biz
53.775149,-1.710451,theft_person
53.776049,-1.703647,burglary_biz
53.776413,-1.71674,burglary_biz
53.776413,-1.71674,burglary_biz
53.776413,-1.71674,burglary_biz
53.772189,-1.732609,shoplifting
53.773008,-1.749567,burglary_biz
53.777396,-1.754897,robbery_biz
53.774981,-1.760814,robbery_biz
53.771241,-1.784063,burglary_biz
