lat,lng,cat
53.488267,-2.869957,burglary_biz
53.48997,-2.882803,burglary_biz
53.495424,-2.891554,robbery_biz
53.489684,-2.899482,theft_person
53.469813,-2.876073,burglary_biz
53.472433,-2.876744,burglary_biz
53.482641,-2.88571,shoplifting
53.48351,-2.883634,shoplifting
53.482641,-2.88571,shoplifting
53.482689,-2.888846,shoplifting
53.482689,-2.888846,shoplifting
53.482282,-2.886788,shoplifting
53.482641,-2.88571,shoplifting
53.482282,-2.886788,shoplifting
53.482641,-2.88571,shoplifting
53.482641,-2.88571,shoplifting
53.482641,-2.88571,shoplifting
53.482641,-2.88571,shoplifting
53.485974,-2.902734,robbery_biz
53.470019,-2.91869,shoplifting
53.471517,-2.874104,burglary_biz
53.465888,-2.876911,burglary_biz
53.440487,-2.863094,burglary_biz
53.434789,-2.864303,burglary_biz
53.422114,-2.799806,shoplifting
53.42241,-2.802701,shoplifting
53.42782,-2.801539,burglary_biz
53.429581,-2.802941,robbery_biz
53.427073,-2.8016,shoplifting
53.427073,-2.8016,shoplifting
53.427073,-2.8016,shoplifting
53.429581,-2.802941,shoplifting
53.426798,-2.801023,shoplifting
53.429197,-2.805237,shoplifting
53.426798,-2.801023,shoplifting
53.429581,-2.802941,shoplifting
53.426798,-2.801023,shoplifting
53.426798,-2.801023,shoplifting
53.427797,-2.799492,shoplifting
53.426798,-2.801023,shoplifting
53.427073,-2.8016,shoplifting
53.426798,-2.801023,shoplifting
53.426798,-2.801023,shoplifting
53.426798,-2.801023,shoplifting
53.427073,-2.8016,shoplifting
53.426798,-2.801023,shoplifting
53.426798,-2.801023,shoplifting
53.426798,-2.801023,shoplifting
53.427363,-2.797286,shoplifting
53.429581,-2.802941,shoplifting
53.426798,-2.801023,shoplifting
53.427073,-2.8016,shoplifting
53.429581,-2.802941,shoplifting
53.426798,-2.801023,shoplifting
53.426798,-2.801023,shoplifting
53.426798,-2.801023,shoplifting
53.425473,-2.798906,shoplifting
53.426584,-2.803457,shoplifting
53.425473,-2.798906,shoplifting
53.425473,-2.798906,shoplifting
53.426584,-2.803457,shoplifting
53.425473,-2.798906,shoplifting
53.425473,-2.798906,shoplifting
53.426584,-2.803457,shoplifting
53.424777,-2.803588,shoplifting
53.419492,-2.853987,shoplifting
53.420099,-2.863313,shoplifting
53.420099,-2.863313,shoplifting
53.420099,-2.863313,shoplifting
53.426428,-2.868182,robbery_biz
53.420779,-2.867525,robbery_biz
53.422271,-2.862469,shoplifting
53.422271,-2.862469,shoplifting
53.420028,-2.793161,robbery_biz
53.421867,-2.784302,shoplifting
53.421867,-2.784302,shoplifting
53.421867,-2.784302,shoplifting
53.419767,-2.845716,burglary_biz
53.419994,-2.844096,burglary_biz
