lat,lng,cat
53.49965,-1.459189,burglary_biz
53.497364,-1.464404,shoplifting
53.494696,-1.49377,burglary_biz
53.496921,-1.417785,burglary_biz
53.498706,-1.420775,shoplifting
53.497802,-1.436586,burglary_biz
53.492279,-1.288977,burglary_biz
53.495322,-1.281464,shoplifting
53.495322,-1.281464,shoplifting
53.495322,-1.281464,shoplifting
53.495322,-1.281464,shoplifting
53.495322,-1.281464,shoplifting
53.496678,-1.259991,burglary_biz
53.496266,-1.300532,shoplifting
53.494309,-1.296359,burglary_biz
53.494309,-1.296359,shoplifting
53.47942,-1.233003,burglary_biz
53.482811,-1.2305,shoplifting
53.482811,-1.2305,shoplifting
53.482811,-1.2305,shoplifting
53.482811,-1.2305,shoplifting
53.482811,-1.2305,shoplifting
53.482811,-1.2305,shoplifting
53.482811,-1.2305,shoplifting
53.482811,-1.2305,shoplifting
53.482811,-1.2305,shoplifting
53.482811,-1.2305,shoplifting
53.482811,-1.2305,shoplifting
53.482811,-1.2305,shoplifting
53.490911,-1.237784,burglary_biz
53.490911,-1.237784,burglary_biz
53.484298,-1.232538,burglary_biz
53.491307,-1.244921,shoplifting
53.486062,-1.257116,burglary_biz
53.491102,-1.255219,shoplifting
53.491102,-1.255219,shoplifting
53.498643,-1.313669,burglary_biz
53.498643,-1.313669,burglary_biz
53.492453,-1.31104,shoplifting
53.488146,-1.313914,burglary_biz
53.487775,-1.302737,robbery_biz
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486891,-1.313075,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.486578,-1.31323,shoplifting
53.489168,-1.326105,burglary_biz
53.488657,-1.32961,burglary_biz
53.485362,-1.333429,shoplifting
53.475078,-1.30644,burglary_biz
53.47903,-1.318475,burglary_biz
53.482663,-1.326705,robbery_biz
53.4845,-1.3145,burglary_biz
53.479893,-1.316925,robbery_biz
53.478983,-1.310234,burglary_biz
53.470319,-1.355418,burglary_biz
53.473415,-1.36304,burglary_biz
53.472949,-1.361556,robbery_biz
53.473687,-1.345153,burglary_biz
53.468374,-1.345023,shoplifting
53.466727,-1.339641,burglary_biz
53.466727,-1.339641,robbery_biz
53.466727,-1.339641,shoplifting
53.466727,-1.339641,shoplifting
53.466727,-1.339641,shoplifting
53.466727,-1.339641,shoplifting
53.466727,-1.339641,shoplifting
53.469605,-1.305038,burglary_biz
53.469173,-1.303373,burglary_biz
53.468011,-1.321815,robbery_biz
53.466213,-1.328125,burglary_biz
53.466213,-1.328125,burglary_biz
53.464269,-1.329147,shoplifting
53.464269,-1.329147,shoplifting
53.464269,-1.329147,shoplifting
53.449542,-1.419501,burglary_biz
53.450522,-1.425315,burglary_biz
53.451777,-1.428205,burglary_biz
53.462688,-1.339086,burglary_biz
53.461435,-1.340175,robbery_biz
53.461102,-1.333493,burglary_biz
53.460296,-1.337391,burglary_biz
53.459815,-1.343655,shoplifting
53.449549,-1.341127,burglary_biz
53.447951,-1.34323,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.447991,-1.343831,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.447991,-1.343831,shoplifting
53.451293,-1.339594,shoplifting
53.451113,-1.344355,shoplifting
53.447991,-1.343831,shoplifting
53.447991,-1.343831,shoplifting
53.447956,-1.342615,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.447991,-1.343831,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.447951,-1.34323,shoplifting
53.447951,-1.34323,shoplifting
53.449549,-1.341127,shoplifting
53.447951,-1.34323,shoplifting
53.451293,-1.339594,shoplifting
53.447951,-1.34323,shoplifting
53.447951,-1.34323,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.447951,-1.34323,shoplifting
53.449549,-1.341127,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.451113,-1.344355,shoplifting
53.447951,-1.34323,theft_person
53.451489,-1.369271,burglary_biz
53.449969,-1.375949,robbery_biz
53.451489,-1.369271,robbery_biz
53.452924,-1.373767,shoplifting
53.454912,-1.367142,burglary_biz
53.45364,-1.392385,burglary_biz
53.455949,-1.381584,burglary_biz
53.446832,-1.30279,burglary_biz
53.448094,-1.304847,burglary_biz
53.443541,-1.319167,burglary_biz
53.445623,-1.317691,burglary_biz
53.44295,-1.313768,burglary_biz
53.443541,-1.319167,shoplifting
53.443541,-1.319167,shoplifting
53.443541,-1.319167,shoplifting
53.443541,-1.319167,shoplifting
53.443541,-1.319167,shoplifting
53.442968,-1.315394,theft_person
53.446063,-1.294175,burglary_biz
53.445561,-1.292874,burglary_biz
53.447861,-1.403158,robbery_biz
53.447861,-1.403158,robbery_biz
53.447861,-1.403158,shoplifting
53.447861,-1.403158,shoplifting
53.447861,-1.403158,shoplifting
53.447861,-1.403158,shoplifting
53.447861,-1.403158,shoplifting
53.447861,-1.403158,shoplifting
53.447861,-1.403158,shoplifting
53.447861,-1.403158,shoplifting
53.447861,-1.403158,shoplifting
53.447861,-1.403158,shoplifting
53.447861,-1.403158,shoplifting
53.447861,-1.403158,shoplifting
53.446965,-1.394753,burglary_biz
53.442935,-1.392312,robbery_biz
53.442935,-1.392312,shoplifting
53.442935,-1.392312,shoplifting
53.437818,-1.269895,burglary_biz
53.433755,-1.312351,burglary_biz
53.436314,-1.314929,burglary_biz
53.437435,-1.314474,burglary_biz
53.440657,-1.319902,burglary_biz
53.440636,-1.322567,burglary_biz
53.440636,-1.322567,burglary_biz
53.43766,-1.330427,shoplifting
53.43613,-1.336472,burglary_biz
53.43613,-1.336472,burglary_biz
53.43613,-1.336472,burglary_biz
53.433765,-1.32671,robbery_biz
53.435327,-1.344071,burglary_biz
53.435258,-1.339632,burglary_biz
53.437135,-1.342599,burglary_biz
53.435327,-1.344071,burglary_biz
53.437135,-1.342599,robbery_biz
53.438598,-1.347258,robbery_biz
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.439326,-1.34392,shoplifting
53.433181,-1.334772,robbery_biz
53.440226,-1.390922,burglary_biz
53.432712,-1.42086,burglary_biz
53.431357,-1.381685,burglary_biz
53.431639,-1.382343,burglary_biz
53.431258,-1.366364,burglary_biz
53.432974,-1.372841,robbery_biz
53.434671,-1.377799,burglary_biz
53.428565,-1.380732,burglary_biz
53.428138,-1.354326,burglary_biz
53.43191,-1.357098,burglary_biz
53.433223,-1.350591,burglary_biz
53.433941,-1.35198,burglary_biz
53.433054,-1.354146,robbery_biz
53.432099,-1.365449,robbery_biz
53.433833,-1.353592,robbery_biz
53.429791,-1.357461,shoplifting
53.433054,-1.354146,shoplifting
53.43169,-1.354633,shoplifting
53.433054,-1.354146,shoplifting
53.433833,-1.353592,shoplifting
53.43169,-1.354633,shoplifting
53.43169,-1.354633,shoplifting
53.43169,-1.354633,shoplifting
53.433833,-1.353592,shoplifting
53.433054,-1.354146,shoplifting
53.433833,-1.353592,shoplifting
53.432099,-1.365449,shoplifting
53.433833,-1.353592,shoplifting
53.433054,-1.354146,shoplifting
53.43169,-1.354633,shoplifting
53.433833,-1.353592,shoplifting
53.43169,-1.354633,shoplifting
53.430929,-1.355277,shoplifting
53.43169,-1.354633,shoplifting
53.43169,-1.354633,shoplifting
53.43169,-1.354633,shoplifting
53.43169,-1.354633,shoplifting
53.43169,-1.354633,shoplifting
53.433833,-1.353592,shoplifting
53.433054,-1.354146,shoplifting
53.43169,-1.354633,shoplifting
53.433833,-1.353592,shoplifting
53.43169,-1.354633,shoplifting
53.433054,-1.354146,shoplifting
53.433833,-1.353592,shoplifting
53.433833,-1.353592,shoplifting
53.432099,-1.365449,shoplifting
53.433054,-1.354146,shoplifting
53.432099,-1.365449,shoplifting
53.430929,-1.355277,shoplifting
53.433833,-1.353592,shoplifting
53.433054,-1.354146,shoplifting
53.43169,-1.354633,shoplifting
53.433833,-1.353592,shoplifting
53.433833,-1.353592,shoplifting
53.433054,-1.354146,shoplifting
53.433833,-1.353592,theft_person
53.433833,-1.353592,theft_person
53.429791,-1.357461,theft_person
53.42777,-1.349515,burglary_biz
53.427476,-1.341829,burglary_biz
53.427476,-1.341829,robbery_biz
53.436565,-1.346852,burglary_biz
53.437087,-1.346965,robbery_biz
53.422126,-1.255733,burglary_biz
53.430793,-1.279513,burglary_biz
53.430225,-1.277701,shoplifting
53.430225,-1.277701,shoplifting
53.428636,-1.285464,shoplifting
53.428636,-1.285464,shoplifting
53.428804,-1.280494,theft_person
53.420239,-1.308115,theft_person
53.427478,-1.350724,shoplifting
53.41843,-1.384972,burglary_biz
53.418044,-1.385053,burglary_biz
53.403955,-1.360332,shoplifting
53.403955,-1.360332,shoplifting
53.401881,-1.365974,burglary_biz
53.408026,-1.367056,burglary_biz
53.39454,-1.260184,burglary_biz
53.398201,-1.259158,burglary_biz
53.396986,-1.258027,shoplifting
53.387007,-1.383606,burglary_biz
53.391116,-1.374002,shoplifting
53.391116,-1.374002,shoplifting
53.391116,-1.374002,shoplifting
53.38941,-1.346958,burglary_biz
53.361904,-1.333794,shoplifting
53.378372,-1.231325,robbery_biz
53.366828,-1.309777,burglary_biz
53.365844,-1.307479,burglary_biz
53.363645,-1.303412,burglary_biz
53.363645,-1.303412,shoplifting
53.36582,-1.281578,shoplifting
53.362516,-1.313348,burglary_biz
53.3635,-1.321867,shoplifting
53.3635,-1.321867,shoplifting
53.3635,-1.321867,shoplifting
53.3635,-1.321867,shoplifting
53.3635,-1.321867,shoplifting
53.3635,-1.321867,shoplifting
53.340703,-1.271344,robbery_biz
53.340703,-1.271344,shoplifting
53.340703,-1.271344,shoplifting
53.341126,-1.265464,shoplifting
53.319261,-1.278134,theft_person
53.424267,-1.263205,shoplifting
53.423447,-1.257034,shoplifting
53.425155,-1.276192,burglary_biz
53.423099,-1.274978,burglary_biz
53.42267,-1.273916,burglary_biz
53.423099,-1.274978,burglary_biz
53.412744,-1.320904,shoplifting
53.40273,-1.27018,burglary_biz
53.482763,-1.596442,shoplifting
53.475534,-1.585196,burglary_biz
53.47547,-1.587472,burglary_biz
53.478343,-1.566304,burglary_biz
53.466556,-1.593373,burglary_biz
53.465039,-1.490809,burglary_biz
53.470645,-1.494388,shoplifting
53.474575,-1.486416,shoplifting
53.474575,-1.486416,shoplifting
53.474575,-1.486416,shoplifting
53.474575,-1.486416,shoplifting
53.474575,-1.486416,shoplifting
53.474575,-1.486416,shoplifting
53.47443,-1.500791,burglary_biz
53.469078,-1.481119,burglary_biz
53.46164,-1.480468,shoplifting
53.46536,-1.477595,burglary_biz
53.450032,-1.464939,burglary_biz
53.462397,-1.468082,burglary_biz
53.46165,-1.465832,robbery_biz
53.461784,-1.467773,shoplifting
53.461784,-1.467773,shoplifting
53.461784,-1.467773,shoplifting
53.461784,-1.467773,shoplifting
53.461784,-1.467773,shoplifting
53.461784,-1.467773,shoplifting
53.461784,-1.467773,shoplifting
53.461784,-1.467773,shoplifting
53.461784,-1.467773,shoplifting
53.461784,-1.467773,shoplifting
53.461784,-1.467773,shoplifting
53.461784,-1.467773,shoplifting
53.460323,-1.472852,burglary_biz
53.443626,-1.503124,robbery_biz
53.44234,-1.469326,burglary_biz
53.447745,-1.482358,burglary_biz
53.444292,-1.459621,shoplifting
53.445686,-1.463924,shoplifting
53.444292,-1.459621,shoplifting
53.444292,-1.459621,shoplifting
53.444292,-1.459621,shoplifting
53.441112,-1.492962,burglary_biz
53.44515,-1.50416,robbery_biz
53.432035,-1.468476,shoplifting
53.435241,-1.459766,burglary_biz
53.431487,-1.458654,theft_person
53.441569,-1.463856,burglary_biz
53.438872,-1.463619,shoplifting
53.438872,-1.463619,shoplifting
53.438872,-1.463619,shoplifting
53.438872,-1.463619,shoplifting
53.433346,-1.431116,robbery_biz
53.432508,-1.447835,burglary_biz
53.435148,-1.445332,burglary_biz
53.436374,-1.450118,burglary_biz
53.436374,-1.450118,burglary_biz
53.452089,-1.55451,burglary_biz
53.433511,-1.535829,burglary_biz
53.432045,-1.533301,shoplifting
53.429887,-1.478872,burglary_biz
53.431576,-1.478596,shoplifting
53.431576,-1.478596,shoplifting
53.431576,-1.478596,shoplifting
53.428108,-1.487202,robbery_biz
53.428108,-1.487202,shoplifting
53.435114,-1.475738,burglary_biz
53.424222,-1.450169,shoplifting
53.424222,-1.450169,shoplifting
53.424222,-1.450169,shoplifting
53.424222,-1.450169,shoplifting
53.424222,-1.450169,shoplifting
53.424222,-1.450169,shoplifting
53.424222,-1.450169,shoplifting
53.424222,-1.450169,shoplifting
53.422428,-1.460861,burglary_biz
53.421349,-1.464697,burglary_biz
53.422642,-1.474672,burglary_biz
53.418295,-1.492029,burglary_biz
53.416316,-1.489074,burglary_biz
53.422097,-1.481556,burglary_biz
53.418754,-1.479776,shoplifting
53.418754,-1.479776,shoplifting
53.418754,-1.479776,shoplifting
53.418754,-1.479776,shoplifting
53.418754,-1.479776,shoplifting
53.417733,-1.484603,burglary_biz
53.421664,-1.437457,burglary_biz
53.414881,-1.449868,burglary_biz
53.423132,-1.423021,burglary_biz
53.418961,-1.434182,burglary_biz
53.418961,-1.434182,burglary_biz
53.431961,-1.423489,robbery_biz
